route_id,trip_id,stop_id,stop_name,current_time,closest_arrival_time,real_arrival_time
19,293020,1551,Bay & National,13:38:27,13:34:41,14:04:41
19,293020,1551,Bay & National,13:40:24,13:42:26,14:04:41
