route_id,service_id,trip_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id,wheelchair_accessible,bikes_allowed
1,8,1062130,Soquel/Cabrillo/Airport,,1,69901413,shp-1-11,1,1
1,3,1073020,Soquel/Cabrillo/Airport,,1,70076902,shp-1-11,1,1
1,6,1089030,Soquel/Cabrillo/Airport,,1,70077003,shp-1-10,1,1
1,5,1113010,Soquel/Cabrillo/Airport,,1,70118001,shp-1-10,1,1
1,7,1188090,Soquel/Cabrillo/Airport,,1,70104709,shp-1-10,1,1
1,1,1068110,Soquel/Cabrillo/Airport,,1,70091311,shp-1-11,1,1
1,3,1089020,Soquel/Cabrillo/Airport,,1,70077002,shp-1-10,1,1
1,1,11110,Soquel/Cabrillo/Airport,,1,70091611,shp-1-11,1,1
1,7,1125090,Soquel/Cabrillo/Airport,,1,70106409,shp-1-11,1,1
1,2,1180100,Soquel/Cabrillo/Airport,,1,70127610,shp-1-10,1,1
1,8,1017130,Soquel/Cabrillo/Airport,,1,69901613,shp-1-11,1,1
1,2,1035100,Soquel/Cabrillo/Airport,,1,70127810,shp-1-11,1,1
1,3,1081020,Soquel/Cabrillo/Airport,,1,70076202,shp-1-11,1,1
1,2,1122100,Soquel/Cabrillo/Airport,,1,70128510,shp-1-10,1,1
1,1,1135110,Soquel/Cabrillo/Airport,,1,70091211,shp-1-10,1,1
1,8,1142130,Soquel/Cabrillo/Airport,,1,69901413,shp-1-11,1,1
1,5,1177010,Soquel/Cabrillo/Airport,,1,70118201,shp-1-11,1,1
1,6,1183030,Soquel/Cabrillo/Airport,,1,70076703,shp-1-11,1,1
1,5,1058010,Soquel/Cabrillo/Airport,,1,70117801,shp-1-10,1,1
1,1,1060110,Soquel/Cabrillo/Airport,,1,70090411,shp-1-11,1,1
1,7,107090,Soquel/Cabrillo/Airport,,1,70104809,shp-1-10,1,1
1,6,1081030,Soquel/Cabrillo/Airport,,1,70076203,shp-1-11,1,1
1,6,1138030,Soquel/Cabrillo/Airport,,1,70076203,shp-1-11,1,1
1,5,1145010,Soquel/Cabrillo/Airport,,1,70117801,shp-1-10,1,1
1,6,1159030,Soquel/Cabrillo/Airport,,1,70076903,shp-1-11,1,1
1,8,1313130,Soquel/Cabrillo/Airport,,1,69901713,shp-1-10,1,1
1,5,1357010,Soquel/Cabrillo/Airport,,1,70117101,shp-1-10,1,1
1,2,1358100,Soquel/Cabrillo/Airport,,1,70127810,shp-1-10,1,1
1,1,140110,Soquel/Cabrillo/Airport,,1,70092111,shp-1-11,1,1
1,2,1005100,Soquel/Cabrillo/Airport,,1,70128310,shp-1-10,1,1
1,5,1013010,Soquel/Cabrillo/Airport,,1,70117101,shp-1-10,1,1
