stop_id,stop_code,stop_name,tts_stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding,level_id,platform_code
1141,1543,Hwy 9 & Main,,,37.089657,-122.089676,,https://scmtd.com/en/stop/1543,,,,0,,
1142,1544,Hwy 9 & Main,,,37.089844,-122.089813,,https://scmtd.com/en/stop/1544,,,,0,,
1143,1547,Hwy 9 & Brown Gables Rd,,,37.092960,-122.096260,,https://scmtd.com/en/stop/1547,,,,0,,
1144,1548,Hwy 9 & California Dr,,,37.095730,-122.097420,,https://scmtd.com/en/stop/1548,,,,0,,
1145,1549,Hwy 9 & California Dr,,,37.095489,-122.097122,,https://scmtd.com/en/stop/1549,,,,0,,
1146,1550,Hwy 9 & Pike Rd,,,37.099701,-122.100967,,https://scmtd.com/en/stop/1550,,,,0,,
1147,1552,Hwy 9 & Western Ave,,,37.105839,-122.105988,,https://scmtd.com/en/stop/1552,,,,0,,
1148,1553,Hwy 9 & Larkspur,,,37.106651,-122.106560,,https://scmtd.com/en/stop/1553,,,,0,,
1149,1554,Hwy 9 & Clear Creek Rd,,,37.107697,-122.109261,,https://scmtd.com/en/stop/1554,,,,0,,
1150,1555,Hwy 9 & Pacific,,,37.107861,-122.109627,,https://scmtd.com/en/stop/1555,,,,0,,
1151,1556,Hwy 9 & Irwin Way,,,37.111294,-122.114410,,https://scmtd.com/en/stop/1556,,,,0,,
1152,1557,Hwy 9 & Irwin Way,,,37.111439,-122.114220,,https://scmtd.com/en/stop/1557,,,,0,,
1153,1558,Hwy 9 & River,,,37.116161,-122.120453,,https://scmtd.com/en/stop/1558,,,,0,,
1154,1559,Hwy 9 & River,,,37.116524,-122.120216,,https://scmtd.com/en/stop/1559,,,,0,,
1155,1560,Hwy 9 & Mountain,,,37.120399,-122.120834,,https://scmtd.com/en/stop/1560,,,,0,,
1156,1561,Hwy 9 & Lomond,,,37.123093,-122.121696,,https://scmtd.com/en/stop/1561,,,,0,,
1157,1564,Hwy 9 & Monaco Ln,,,37.133812,-122.125984,,https://scmtd.com/en/stop/1564,,,,0,,
1158,1565,Hwy 9 & Cresta Dr,,,37.138687,-122.129517,,https://scmtd.com/en/stop/1565,,,,0,,
1159,1567,Hwy 9 & Sequoia Rd,,,37.152439,-122.134529,,https://scmtd.com/en/stop/1567,,,,0,,
1161,1569,Hwy 9 & Sylvan Ave,,,37.195713,-122.145607,,https://scmtd.com/en/stop/1569,,,,0,,
1162,1570,Hwy 17 & Pasatiempo Dr,,,36.999294,-122.020912,,https://scmtd.com/en/stop/1570,,,,0,,
1163,1571,Hwy 17 & Pasatiempo Dr,,,36.999645,-122.022064,,https://scmtd.com/en/stop/1571,,,,0,,
1164,1585,5th Ave (Harbormaster),,,36.963802,-122.000298,,https://scmtd.com/en/stop/1585,,,,0,,
1165,1586,Lake Ave & Lago Ln,,,36.966976,-122.001083,,https://scmtd.com/en/stop/1586,,,,0,,
1166,1590,Laurel & Blackburn,,,36.968449,-122.031158,,https://scmtd.com/en/stop/1590,,,,0,,
1167,1591,Laurel & Center,,,36.968918,-122.027740,,https://scmtd.com/en/stop/1591,,,,0,,
1168,1615,McLaughlin Dr (UCSC - Science Hill),,,36.999973,-122.062332,,https://scmtd.com/en/stop/1615,,,,0,,
1169,1616,McLaughlin Dr (UCSC - College 9 & John R. Lewis),,,36.999924,-122.058319,,https://scmtd.com/en/stop/1616,,,,0,,
1170,1617,McLaughlin Dr (UCSC - Crown & Merrill College),,,36.999008,-122.055176,,https://scmtd.com/en/stop/1617,,,,0,,
1171,1619,Mission & Miramar Dr (Almar Shopping Ctr),,,36.962131,-122.044601,,https://scmtd.com/en/stop/1619,,,,0,,
1172,1620,Mission & Miramar Dr (Almar Shopping Ctr),,,36.962398,-122.044502,,https://scmtd.com/en/stop/1620,,,,0,,
1173,1623,Mission & Palm (Palm Center),,,36.965111,-122.041534,,https://scmtd.com/en/stop/1623,,,,0,,
1174,1624,Mission & Olive,,,36.965073,-122.041832,,https://scmtd.com/en/stop/1624,,,,0,,
1175,1625,Mission & Trescony,,,36.967289,-122.039131,,https://scmtd.com/en/stop/1625,,,,0,,
1176,1629,Mission & Laurel,,,36.969170,-122.037437,,https://scmtd.com/en/stop/1629,,,,0,,
1177,1630,Mission & Laurel,,,36.969029,-122.037788,,https://scmtd.com/en/stop/1630,,,,0,,
1178,1631,Mission & Rigg,,,36.970787,-122.036392,,https://scmtd.com/en/stop/1631,,,,0,,
1179,1633,Mission & Otis,,,36.970921,-122.036552,,https://scmtd.com/en/stop/1633,,,,0,,
